Seed,Team
6,Purdue
16,Florida
2,Texas
14,Creighton
5,Baylor
8,Georgia Tech
3,Pittsburgh
9,Ohio St.
1,Louisville
7,Kentucky
10,Nebraska
12,Minnesota
4,Wisconsin
11,BYU
15,Washington
13,UCLA
